group,id,course,trimester,grade
1,13,Celestial Navigation and Astronomy,2,10
1,13,Celestial Navigation and Astronomy,2,4
1,13,Celestial Navigation and Astronomy,2,16
1,13,Celestial Navigation and Astronomy,2,9
1,13,Celestial Navigation and Astronomy,2,13
1,13,Celestial Navigation and Astronomy,2,7
1,13,Dragon Lore and Taming,2,5.5
1,13,Dragon Lore and Taming,2,7
1,13,Dragon Lore and Taming,2,6
1,13,Dragon Lore and Taming,2,7.5
1,13,Dragon Lore and Taming,2,8
1,13,Dragon Lore and Taming,2,10
1,13,Elemental Mastery and Control,1,13
1,13,Elemental Mastery and Control,1,13
1,13,Elemental Mastery and Control,1,10
1,13,Elemental Mastery and Control,1,11
1,13,History of the Arcane,3,7.5
1,13,History of the Arcane,3,4
1,13,History of the Arcane,3,12
1,13,History of the Arcane,3,10
1,13,History of the Arcane,3,7
1,13,History of the Arcane,3,12.5
1,13,Illusion and Enchantment,1,18.5
1,13,Illusion and Enchantment,1,8
1,13,Illusion and Enchantment,1,18
1,13,Necromancy and Spirit Summoning,1,9.5
1,13,Necromancy and Spirit Summoning,1,8.5
1,13,Necromancy and Spirit Summoning,1,9
1,13,Necromancy and Spirit Summoning,1,7
1,13,Necromancy and Spirit Summoning,1,8
1,13,Necromancy and Spirit Summoning,1,5
1,13,Necromancy and Spirit Summoning,1,9.5
1,13,Necromancy and Spirit Summoning,1,11
1,13,Necromancy and Spirit Summoning,1,10.5
1,13,Necromancy and Spirit Summoning,1,10.5
1,13,Potion Brewing and Herbology,2,15
1,13,Potion Brewing and Herbology,2,13.5
1,13,Potion Brewing and Herbology,2,13.5
1,13,Potion Brewing and Herbology,2,12
1,13,Runecrafting and Glyphwork,1,10.25
1,13,Runecrafting and Glyphwork,1,8.25
1,13,Runecrafting and Glyphwork,1,2.75
1,13,Swordsmanship and Martial Arts,1,14
1,13,Swordsmanship and Martial Arts,1,10
1,13,Swordsmanship and Martial Arts,1,16.5
1,13,Swordsmanship and Martial Arts,1,15
1,13,Swordsmanship and Martial Arts,1,14
1,13,Swordsmanship and Martial Arts,1,16
1,13,Swordsmanship and Martial Arts,1,9.5
1,13,Swordsmanship and Martial Arts,1,13
1,13,Swordsmanship and Martial Arts,1,11.5
1,99,Ancient Magic and Mysticism,1,10
1,99,Ancient Magic and Mysticism,1,8
1,99,Ancient Magic and Mysticism,1,7.5
1,99,Ancient Magic and Mysticism,1,9.5
1,99,Ancient Magic and Mysticism,1,11
1,99,Ancient Magic and Mysticism,1,8.5
1,99,Ancient Magic and Mysticism,1,7
1,99,Ancient Magic and Mysticism,1,10.5
1,99,Ancient Magic and Mysticism,1,10.5
1,99,Celestial Navigation and Astronomy,2,5
1,99,Celestial Navigation and Astronomy,2,6
1,99,Celestial Navigation and Astronomy,2,13
1,99,Celestial Navigation and Astronomy,2,7
1,99,Celestial Navigation and Astronomy,2,8
1,99,Celestial Navigation and Astronomy,2,8
1,99,Celestial Navigation and Astronomy,2,14
1,99,Celestial Navigation and Astronomy,2,10
1,99,Celestial Navigation and Astronomy,2,8
1,99,Dragon Lore and Taming,2,14.5
1,99,Dragon Lore and Taming,2,8.5
1,99,Dragon Lore and Taming,2,8.5
1,99,Dragon Lore and Taming,2,9
1,99,Dragon Lore and Taming,2,7.5
1,99,Dragon Lore and Taming,2,8.5
1,99,Elemental Mastery and Control,1,13
1,99,Elemental Mastery and Control,1,11
1,99,Elemental Mastery and Control,1,12
1,99,Elemental Mastery and Control,1,14
1,99,History of the Arcane,3,10.5
1,99,History of the Arcane,3,1
1,99,History of the Arcane,3,6
1,99,History of the Arcane,3,9.5
1,99,History of the Arcane,3,4.5
1,99,History of the Arcane,3,9
1,99,Illusion and Enchantment,1,18
1,99,Illusion and Enchantment,1,17
1,99,Illusion and Enchantment,1,12
1,99,Necromancy and Spirit Summoning,1,7
1,99,Necromancy and Spirit Summoning,1,4
1,99,Necromancy and Spirit Summoning,1,8.5
1,99,Necromancy and Spirit Summoning,1,9.5
1,99,Necromancy and Spirit Summoning,1,6.5
1,99,Necromancy and Spirit Summoning,1,7.5
1,99,Necromancy and Spirit Summoning,1,8
1,99,Necromancy and Spirit Summoning,1,7.5
1,99,Necromancy and Spirit Summoning,1,9
1,99,Potion Brewing and Herbology,2,15
1,99,Potion Brewing and Herbology,2,13.5
1,99,Potion Brewing and Herbology,2,14
1,99,Potion Brewing and Herbology,2,13
1,99,Runecrafting and Glyphwork,1,6.75
1,99,Runecrafting and Glyphwork,1,8.5
1,99,Runecrafting and Glyphwork,1,7
1,99,Swordsmanship and Martial Arts,1,13
1,99,Swordsmanship and Martial Arts,1,11.5
1,99,Swordsmanship and Martial Arts,1,13.5
1,99,Swordsmanship and Martial Arts,1,11
1,99,Swordsmanship and Martial Arts,1,14
1,99,Swordsmanship and Martial Arts,1,16.5
1,99,Swordsmanship and Martial Arts,1,14.5
1,99,Swordsmanship and Martial Arts,1,14.5
1,99,Swordsmanship and Martial Arts,1,14.5
1,106,Ancient Magic and Mysticism,1,11.5
1,106,Ancient Magic and Mysticism,1,11
1,106,Ancient Magic and Mysticism,1,9
1,106,Ancient Magic and Mysticism,1,9.5
1,106,Ancient Magic and Mysticism,1,7.5
1,106,Ancient Magic and Mysticism,1,10
1,106,Ancient Magic and Mysticism,1,11.5
1,106,Ancient Magic and Mysticism,1,10
1,106,Ancient Magic and Mysticism,1,10
1,106,Celestial Navigation and Astronomy,2,7
1,106,Celestial Navigation and Astronomy,2,7
1,106,Celestial Navigation and Astronomy,2,9
1,106,Celestial Navigation and Astronomy,2,9
1,106,Celestial Navigation and Astronomy,2,8
1,106,Celestial Navigation and Astronomy,2,8
1,106,Celestial Navigation and Astronomy,2,11
1,106,Celestial Navigation and Astronomy,2,2
1,106,Dragon Lore and Taming,2,11
1,106,Dragon Lore and Taming,2,8
1,106,Dragon Lore and Taming,2,9
1,106,Dragon Lore and Taming,2,3
1,106,Dragon Lore and Taming,2,8
1,106,Dragon Lore and Taming,2,9
1,106,Elemental Mastery and Control,1,11
1,106,Elemental Mastery and Control,1,13
1,106,Elemental Mastery and Control,1,13
1,106,Elemental Mastery and Control,1,11
1,106,History of the Arcane,3,6.5
1,106,History of the Arcane,3,8
1,106,History of the Arcane,3,8
1,106,History of the Arcane,3,7.5
1,106,History of the Arcane,3,3.5
1,106,Illusion and Enchantment,1,18
1,106,Illusion and Enchantment,1,12.5
1,106,Illusion and Enchantment,1,15
1,106,Necromancy and Spirit Summoning,1,8.5
1,106,Necromancy and Spirit Summoning,1,6.5
1,106,Necromancy and Spirit Summoning,1,7
1,106,Necromancy and Spirit Summoning,1,10.5
1,106,Necromancy and Spirit Summoning,1,10
1,106,Necromancy and Spirit Summoning,1,12.5
1,106,Necromancy and Spirit Summoning,1,9.5
1,106,Necromancy and Spirit Summoning,1,11.5
1,106,Necromancy and Spirit Summoning,1,7.5
1,106,Necromancy and Spirit Summoning,1,8.5
1,106,Potion Brewing and Herbology,2,13.5
1,106,Potion Brewing and Herbology,2,15.5
1,106,Potion Brewing and Herbology,2,13
1,106,Potion Brewing and Herbology,2,13.5
1,106,Runecrafting and Glyphwork,1,11.5
1,106,Runecrafting and Glyphwork,1,11.5
1,106,Runecrafting and Glyphwork,1,9.75
1,106,Swordsmanship and Martial Arts,1,16
1,106,Swordsmanship and Martial Arts,1,13
1,106,Swordsmanship and Martial Arts,1,14
1,106,Swordsmanship and Martial Arts,1,13.5
1,106,Swordsmanship and Martial Arts,1,13
1,106,Swordsmanship and Martial Arts,1,13.5
1,106,Swordsmanship and Martial Arts,1,13.5
1,106,Swordsmanship and Martial Arts,1,14
1,106,Swordsmanship and Martial Arts,1,16
1,116,Ancient Magic and Mysticism,1,6.5
1,116,Ancient Magic and Mysticism,1,6.5
1,116,Ancient Magic and Mysticism,1,9
1,116,Ancient Magic and Mysticism,1,8.5
1,116,Ancient Magic and Mysticism,1,6.5
1,116,Ancient Magic and Mysticism,1,8
1,116,Ancient Magic and Mysticism,1,9.5
1,116,Ancient Magic and Mysticism,1,8
1,116,Ancient Magic and Mysticism,1,7.5
1,116,Celestial Navigation and Astronomy,2,8
1,116,Celestial Navigation and Astronomy,2,4
1,116,Celestial Navigation and Astronomy,2,5
1,116,Celestial Navigation and Astronomy,2,11
1,116,Celestial Navigation and Astronomy,2,8
1,116,Celestial Navigation and Astronomy,2,7
1,116,Celestial Navigation and Astronomy,2,7
1,116,Celestial Navigation and Astronomy,2,5
1,116,Celestial Navigation and Astronomy,2,3
1,116,Dragon Lore and Taming,2,5.5
1,116,Dragon Lore and Taming,2,6
1,116,Dragon Lore and Taming,2,4.5
1,116,Dragon Lore and Taming,2,10
1,116,Dragon Lore and Taming,2,10.5
1,116,Elemental Mastery and Control,1,13
1,116,Elemental Mastery and Control,1,13
1,116,Elemental Mastery and Control,1,13
1,116,Elemental Mastery and Control,1,13
1,116,History of the Arcane,3,13.5
1,116,History of the Arcane,3,8
1,116,History of the Arcane,3,12
1,116,History of the Arcane,3,13
1,116,History of the Arcane,3,16.5
1,116,Illusion and Enchantment,1,12
1,116,Illusion and Enchantment,1,15
1,116,Illusion and Enchantment,1,13
1,116,Necromancy and Spirit Summoning,1,8.5
1,116,Necromancy and Spirit Summoning,1,7
1,116,Necromancy and Spirit Summoning,1,7.5
1,116,Necromancy and Spirit Summoning,1,7.5
1,116,Necromancy and Spirit Summoning,1,9
1,116,Necromancy and Spirit Summoning,1,11.5
1,116,Necromancy and Spirit Summoning,1,9.5
1,116,Necromancy and Spirit Summoning,1,11.5
1,116,Necromancy and Spirit Summoning,1,12.5
1,116,Necromancy and Spirit Summoning,1,9
1,116,Potion Brewing and Herbology,2,14
1,116,Potion Brewing and Herbology,2,13
1,116,Potion Brewing and Herbology,2,12.5
1,116,Potion Brewing and Herbology,2,14.5
1,116,Runecrafting and Glyphwork,1,9.75
1,116,Runecrafting and Glyphwork,1,6.5
1,116,Runecrafting and Glyphwork,1,9.75
1,116,Swordsmanship and Martial Arts,1,13
1,116,Swordsmanship and Martial Arts,1,13.5
1,116,Swordsmanship and Martial Arts,1,12.5
1,116,Swordsmanship and Martial Arts,1,11
1,116,Swordsmanship and Martial Arts,1,14
1,116,Swordsmanship and Martial Arts,1,17
1,116,Swordsmanship and Martial Arts,1,14.5
1,116,Swordsmanship and Martial Arts,1,16
1,116,Swordsmanship and Martial Arts,1,12
1,138,Ancient Magic and Mysticism,1,9.5
1,138,Ancient Magic and Mysticism,1,9
1,138,Ancient Magic and Mysticism,1,9
1,138,Ancient Magic and Mysticism,1,8.5
1,138,Ancient Magic and Mysticism,1,8
1,138,Ancient Magic and Mysticism,1,7.5
1,138,Ancient Magic and Mysticism,1,9.5
1,138,Ancient Magic and Mysticism,1,9.5
1,138,Ancient Magic and Mysticism,1,10.5
1,138,Celestial Navigation and Astronomy,2,9
1,138,Celestial Navigation and Astronomy,2,10
1,138,Celestial Navigation and Astronomy,2,11
1,138,Celestial Navigation and Astronomy,2,14
1,138,Celestial Navigation and Astronomy,2,9
1,138,Celestial Navigation and Astronomy,2,3
1,138,Celestial Navigation and Astronomy,2,5
1,138,Celestial Navigation and Astronomy,2,3
1,138,Dragon Lore and Taming,2,6
1,138,Dragon Lore and Taming,2,8.5
1,138,Dragon Lore and Taming,2,9
1,138,Dragon Lore and Taming,2,6
1,138,Dragon Lore and Taming,2,8.5
1,138,Dragon Lore and Taming,2,5
1,138,Elemental Mastery and Control,1,12
1,138,Elemental Mastery and Control,1,11
1,138,Elemental Mastery and Control,1,15
1,138,Elemental Mastery and Control,1,14
1,138,History of the Arcane,3,12.5
1,138,History of the Arcane,3,8
1,138,History of the Arcane,3,5
1,138,History of the Arcane,3,7.5
1,138,History of the Arcane,3,8
1,138,History of the Arcane,3,10.5
1,138,Illusion and Enchantment,1,12
1,138,Illusion and Enchantment,1,17.5
1,138,Illusion and Enchantment,1,15.5
1,138,Necromancy and Spirit Summoning,1,12
1,138,Necromancy and Spirit Summoning,1,11
1,138,Necromancy and Spirit Summoning,1,8
1,138,Necromancy and Spirit Summoning,1,6
1,138,Necromancy and Spirit Summoning,1,8
1,138,Necromancy and Spirit Summoning,1,12
1,138,Necromancy and Spirit Summoning,1,9.5
1,138,Necromancy and Spirit Summoning,1,9
1,138,Necromancy and Spirit Summoning,1,10.5
1,138,Necromancy and Spirit Summoning,1,9.5
1,138,Potion Brewing and Herbology,2,13.5
1,138,Potion Brewing and Herbology,2,11
1,138,Potion Brewing and Herbology,2,13
1,138,Runecrafting and Glyphwork,1,7.5
1,138,Runecrafting and Glyphwork,1,7.25
1,138,Swordsmanship and Martial Arts,1,12
1,138,Swordsmanship and Martial Arts,1,14.5
1,138,Swordsmanship and Martial Arts,1,17.5
1,138,Swordsmanship and Martial Arts,1,11
1,138,Swordsmanship and Martial Arts,1,13.5
1,138,Swordsmanship and Martial Arts,1,15
1,138,Swordsmanship and Martial Arts,1,11.5
1,138,Swordsmanship and Martial Arts,1,11
1,156,Ancient Magic and Mysticism,1,7.5
1,156,Ancient Magic and Mysticism,1,8.5
1,156,Ancient Magic and Mysticism,1,7
1,156,Ancient Magic and Mysticism,1,8.5
1,156,Ancient Magic and Mysticism,1,6
1,156,Ancient Magic and Mysticism,1,7.5
1,156,Ancient Magic and Mysticism,1,8.5
1,156,Ancient Magic and Mysticism,1,9.5
1,156,Ancient Magic and Mysticism,1,10
1,156,Celestial Navigation and Astronomy,2,8
1,156,Celestial Navigation and Astronomy,2,11
1,156,Celestial Navigation and Astronomy,2,6
1,156,Celestial Navigation and Astronomy,2,13
1,156,Celestial Navigation and Astronomy,2,3
1,156,Celestial Navigation and Astronomy,2,10
1,156,Celestial Navigation and Astronomy,2,9
1,156,Celestial Navigation and Astronomy,2,11
1,156,Celestial Navigation and Astronomy,2,8
1,156,Dragon Lore and Taming,2,10.5
1,156,Dragon Lore and Taming,2,3.5
1,156,Dragon Lore and Taming,2,4.5
1,156,Dragon Lore and Taming,2,6
1,156,Dragon Lore and Taming,2,8
1,156,Elemental Mastery and Control,1,12
1,156,Elemental Mastery and Control,1,13
1,156,Elemental Mastery and Control,1,12
1,156,Elemental Mastery and Control,1,12
1,156,History of the Arcane,3,12.5
1,156,History of the Arcane,3,8
1,156,History of the Arcane,3,8
1,156,History of the Arcane,3,9.5
1,156,History of the Arcane,3,10.5
1,156,History of the Arcane,3,8.5
1,156,Illusion and Enchantment,1,13.5
1,156,Illusion and Enchantment,1,12.5
1,156,Illusion and Enchantment,1,15
1,156,Necromancy and Spirit Summoning,1,10
1,156,Necromancy and Spirit Summoning,1,8.5
1,156,Necromancy and Spirit Summoning,1,8.5
1,156,Necromancy and Spirit Summoning,1,7
1,156,Necromancy and Spirit Summoning,1,8
1,156,Necromancy and Spirit Summoning,1,8
1,156,Necromancy and Spirit Summoning,1,11
1,156,Necromancy and Spirit Summoning,1,11
1,156,Necromancy and Spirit Summoning,1,9
1,156,Necromancy and Spirit Summoning,1,10
1,156,Potion Brewing and Herbology,2,12.5
1,156,Potion Brewing and Herbology,2,13
1,156,Potion Brewing and Herbology,2,14
1,156,Potion Brewing and Herbology,2,14
1,156,Runecrafting and Glyphwork,1,10.25
1,156,Runecrafting and Glyphwork,1,2.5
1,156,Swordsmanship and Martial Arts,1,14.5
1,156,Swordsmanship and Martial Arts,1,14
1,156,Swordsmanship and Martial Arts,1,12.5
1,156,Swordsmanship and Martial Arts,1,13.5
1,156,Swordsmanship and Martial Arts,1,15.5
1,156,Swordsmanship and Martial Arts,1,9.5
1,156,Swordsmanship and Martial Arts,1,14.5
1,156,Swordsmanship and Martial Arts,1,9.5
1,167,Ancient Magic and Mysticism,1,8
1,167,Ancient Magic and Mysticism,1,9
1,167,Ancient Magic and Mysticism,1,7.5
1,167,Ancient Magic and Mysticism,1,8
1,167,Ancient Magic and Mysticism,1,10
1,167,Ancient Magic and Mysticism,1,9.5
1,167,Ancient Magic and Mysticism,1,7.5
1,167,Ancient Magic and Mysticism,1,8
1,167,Ancient Magic and Mysticism,1,9
1,167,Celestial Navigation and Astronomy,2,9
1,167,Celestial Navigation and Astronomy,2,7
1,167,Celestial Navigation and Astronomy,2,8
1,167,Celestial Navigation and Astronomy,2,12
1,167,Celestial Navigation and Astronomy,2,8
1,167,Celestial Navigation and Astronomy,2,11
1,167,Celestial Navigation and Astronomy,2,12
1,167,Dragon Lore and Taming,2,10.5
1,167,Dragon Lore and Taming,2,9
1,167,Dragon Lore and Taming,2,6
1,167,Dragon Lore and Taming,2,8
1,167,Dragon Lore and Taming,2,6.5
1,167,Dragon Lore and Taming,2,7.5
1,167,Elemental Mastery and Control,1,13
1,167,Elemental Mastery and Control,1,13
1,167,Elemental Mastery and Control,1,12
1,167,Elemental Mastery and Control,1,11
1,167,History of the Arcane,3,7.5
1,167,History of the Arcane,3,11.5
1,167,History of the Arcane,3,12.5
1,167,History of the Arcane,3,12
1,167,History of the Arcane,3,13.5
1,167,History of the Arcane,3,13
1,167,Illusion and Enchantment,1,13.5
1,167,Illusion and Enchantment,1,9
1,167,Illusion and Enchantment,1,14.5
1,167,Necromancy and Spirit Summoning,1,9
1,167,Necromancy and Spirit Summoning,1,9
1,167,Necromancy and Spirit Summoning,1,7.5
1,167,Necromancy and Spirit Summoning,1,7
1,167,Necromancy and Spirit Summoning,1,9.5
1,167,Necromancy and Spirit Summoning,1,10.5
1,167,Necromancy and Spirit Summoning,1,9
1,167,Necromancy and Spirit Summoning,1,12
1,167,Necromancy and Spirit Summoning,1,7.5
1,167,Necromancy and Spirit Summoning,1,7.5
1,167,Potion Brewing and Herbology,2,15
1,167,Potion Brewing and Herbology,2,14.5
1,167,Potion Brewing and Herbology,2,16
1,167,Potion Brewing and Herbology,2,15
1,167,Runecrafting and Glyphwork,1,12.25
1,167,Runecrafting and Glyphwork,1,6
1,167,Swordsmanship and Martial Arts,1,12
1,167,Swordsmanship and Martial Arts,1,12.5
1,167,Swordsmanship and Martial Arts,1,14.5
1,167,Swordsmanship and Martial Arts,1,11.5
1,167,Swordsmanship and Martial Arts,1,16
1,167,Swordsmanship and Martial Arts,1,13
1,167,Swordsmanship and Martial Arts,1,11
1,167,Swordsmanship and Martial Arts,1,15
1,177,Ancient Magic and Mysticism,1,8.5
1,177,Ancient Magic and Mysticism,1,10
1,177,Ancient Magic and Mysticism,1,8.5
1,177,Ancient Magic and Mysticism,1,9.5
1,177,Ancient Magic and Mysticism,1,8.5
1,177,Ancient Magic and Mysticism,1,10
1,177,Ancient Magic and Mysticism,1,6
1,177,Ancient Magic and Mysticism,1,8.5
1,177,Ancient Magic and Mysticism,1,8.5
1,177,Celestial Navigation and Astronomy,2,11
1,177,Celestial Navigation and Astronomy,2,8
1,177,Celestial Navigation and Astronomy,2,5
1,177,Celestial Navigation and Astronomy,2,9
1,177,Celestial Navigation and Astronomy,2,8
1,177,Celestial Navigation and Astronomy,2,9
1,177,Celestial Navigation and Astronomy,2,10
1,177,Celestial Navigation and Astronomy,2,15
1,177,Dragon Lore and Taming,2,6.5
1,177,Dragon Lore and Taming,2,5
1,177,Dragon Lore and Taming,2,11
1,177,Dragon Lore and Taming,2,6.5
1,177,Dragon Lore and Taming,2,9.5
1,177,Dragon Lore and Taming,2,8
1,177,Elemental Mastery and Control,1,15
1,177,Elemental Mastery and Control,1,11
1,177,Elemental Mastery and Control,1,12
1,177,Elemental Mastery and Control,1,12
1,177,History of the Arcane,3,8.5
1,177,History of the Arcane,3,11.5
1,177,History of the Arcane,3,5.5
1,177,History of the Arcane,3,7.5
1,177,History of the Arcane,3,12
1,177,Illusion and Enchantment,1,15
1,177,Illusion and Enchantment,1,18.5
1,177,Illusion and Enchantment,1,15.5
1,177,Necromancy and Spirit Summoning,1,9.5
1,177,Necromancy and Spirit Summoning,1,7.5
1,177,Necromancy and Spirit Summoning,1,7
1,177,Necromancy and Spirit Summoning,1,7
1,177,Necromancy and Spirit Summoning,1,5.5
1,177,Necromancy and Spirit Summoning,1,5
1,177,Necromancy and Spirit Summoning,1,11.5
1,177,Necromancy and Spirit Summoning,1,9
1,177,Necromancy and Spirit Summoning,1,9.5
1,177,Necromancy and Spirit Summoning,1,7
1,177,Potion Brewing and Herbology,2,16
1,177,Potion Brewing and Herbology,2,14
1,177,Potion Brewing and Herbology,2,13.5
1,177,Potion Brewing and Herbology,2,11
1,177,Runecrafting and Glyphwork,1,8
1,177,Runecrafting and Glyphwork,1,6.5
1,177,Runecrafting and Glyphwork,1,10.75
1,177,Swordsmanship and Martial Arts,1,15
1,177,Swordsmanship and Martial Arts,1,13.5
1,177,Swordsmanship and Martial Arts,1,12.5
1,177,Swordsmanship and Martial Arts,1,12
1,177,Swordsmanship and Martial Arts,1,12.5
1,177,Swordsmanship and Martial Arts,1,14
1,177,Swordsmanship and Martial Arts,1,15
1,177,Swordsmanship and Martial Arts,1,17.5
1,200,Ancient Magic and Mysticism,1,9
1,200,Ancient Magic and Mysticism,1,12
1,200,Ancient Magic and Mysticism,1,8.5
1,200,Ancient Magic and Mysticism,1,8.5
1,200,Ancient Magic and Mysticism,1,10
1,200,Ancient Magic and Mysticism,1,9
1,200,Ancient Magic and Mysticism,1,6.5
1,200,Ancient Magic and Mysticism,1,11
1,200,Ancient Magic and Mysticism,1,6.5
1,200,Celestial Navigation and Astronomy,2,5
1,200,Celestial Navigation and Astronomy,2,7
1,200,Celestial Navigation and Astronomy,2,4
1,200,Celestial Navigation and Astronomy,2,7
1,200,Celestial Navigation and Astronomy,2,4
1,200,Celestial Navigation and Astronomy,2,10
1,200,Celestial Navigation and Astronomy,2,10
1,200,Celestial Navigation and Astronomy,2,6
1,200,Celestial Navigation and Astronomy,2,6
1,200,Dragon Lore and Taming,2,7
1,200,Dragon Lore and Taming,2,5
1,200,Dragon Lore and Taming,2,9.5
1,200,Dragon Lore and Taming,2,8.5
1,200,Dragon Lore and Taming,2,8
1,200,Dragon Lore and Taming,2,7.5
1,200,Elemental Mastery and Control,1,12
1,200,Elemental Mastery and Control,1,11
1,200,Elemental Mastery and Control,1,11
1,200,Elemental Mastery and Control,1,12
1,200,History of the Arcane,3,15
1,200,History of the Arcane,3,7.5
1,200,History of the Arcane,3,10
1,200,History of the Arcane,3,6
1,200,History of the Arcane,3,12.5
1,200,History of the Arcane,3,11.5
1,200,Illusion and Enchantment,1,12.5
1,200,Illusion and Enchantment,1,13
1,200,Illusion and Enchantment,1,20
1,200,Necromancy and Spirit Summoning,1,10
1,200,Necromancy and Spirit Summoning,1,9.5
1,200,Necromancy and Spirit Summoning,1,11.5
1,200,Necromancy and Spirit Summoning,1,12
1,200,Necromancy and Spirit Summoning,1,10.5
1,200,Necromancy and Spirit Summoning,1,14.5
1,200,Necromancy and Spirit Summoning,1,10.5
1,200,Necromancy and Spirit Summoning,1,9.5
1,200,Necromancy and Spirit Summoning,1,12.5
1,200,Necromancy and Spirit Summoning,1,10
1,200,Potion Brewing and Herbology,2,14
1,200,Potion Brewing and Herbology,2,16.5
1,200,Potion Brewing and Herbology,2,13.5
1,200,Potion Brewing and Herbology,2,14
1,200,Runecrafting and Glyphwork,1,10.5
1,200,Runecrafting and Glyphwork,1,8.75
1,200,Runecrafting and Glyphwork,1,8.5
1,200,Swordsmanship and Martial Arts,1,16
1,200,Swordsmanship and Martial Arts,1,17.5
1,200,Swordsmanship and Martial Arts,1,12.5
1,200,Swordsmanship and Martial Arts,1,11.5
1,200,Swordsmanship and Martial Arts,1,17.5
1,200,Swordsmanship and Martial Arts,1,17.5
1,200,Swordsmanship and Martial Arts,1,14
1,200,Swordsmanship and Martial Arts,1,12
1,200,Swordsmanship and Martial Arts,1,15.5
1,231,Ancient Magic and Mysticism,1,10.5
1,231,Ancient Magic and Mysticism,1,8
1,231,Ancient Magic and Mysticism,1,10
1,231,Ancient Magic and Mysticism,1,8.5
1,231,Ancient Magic and Mysticism,1,10
1,231,Ancient Magic and Mysticism,1,10.5
1,231,Ancient Magic and Mysticism,1,4
1,231,Ancient Magic and Mysticism,1,6.5
1,231,Ancient Magic and Mysticism,1,10
1,231,Celestial Navigation and Astronomy,2,11
1,231,Celestial Navigation and Astronomy,2,8
1,231,Celestial Navigation and Astronomy,2,7
1,231,Celestial Navigation and Astronomy,2,11
1,231,Celestial Navigation and Astronomy,2,5
1,231,Celestial Navigation and Astronomy,2,13
1,231,Celestial Navigation and Astronomy,2,11
1,231,Celestial Navigation and Astronomy,2,6
1,231,Celestial Navigation and Astronomy,2,7
1,231,Dragon Lore and Taming,2,8.5
1,231,Dragon Lore and Taming,2,11.5
